table_name,last_id
accesslevelfile,4490
adjustmentfile,2803
amendauthorsignatoriesfile,1537
amendmentfile,884
amendotherchargesfile,24763
amendparticularsfile,27657
amendpayschedulefile,0
amendrentalchargesfile,8210
app_files,8
approveby,12
ar1,1
ar2,0
audittrailfile,85397
aur_sig,7
bank,2
branchfile,5
branchfloorlevelfile,176
businesscategoryfile,45
chargesfile,128
chargestagfile,21830
checkby,19
clausesfile,251
clearancefile,341
clientofferfile,928
clientofferhistoryfile,28
cm,24850
cmdmextfile,0
cmdmfile,0
constructionfile,1840
contractrenewalfile,589
departmentfile,11
discountfile,9392
dm,4509
documentfile,12
egressfile,8
exhibitprofilefile,0
finalreadingfile,0
gross_sales1,114
gross_sales2,9914
ingressfile,889
ingressotherfile,343
inspectionfile,13
interestandpenaltyfile,0
intpenfile,0
lateopenandearlyclosefile,331
locationfile,429
loecfile,372
meter1,101
meter2,505
meterfile,1244
meterhistoryfile,2203
meterreadingexcelfile,33547
meterreadingfile,789
metertagfile,1921
moaextensionfile,0
modulefile,124
notedby,68
operationadjfile,0
operationadjustmentfile,186
operationhoursclosingexemptedfile,673
operationhoursfile,78
operationhoursopeningexemptedfile,402
operationhourstenantexemptedfile,31
operationspecificfile,851
or1,16499
or2,27601
or2_a,0
or3,9773
orfile,0
otheraccountchargesfile,3
otherchargesfile,39205
otherchargeshistoryfile,0
otherchargesingressfile,2
otherservicefile,13891
particularsfile,26
payschedulefile,0
payschedulehistoryfile,0
pospermitfile,0
preconstructionfile,14
preoperationfile,19105
preparedby,30
printby,146
provisionsfile,19
refundfile,0
refundsecuritydepositfile,206
refundsecuritydepositwithoutorfile,1
reminder_sig,7
remindersfile,2
rentalchargesfile,8341
rentalschemefile,8
representativefile,4792
representativehistoryfile,0
rolefile,29
sales,7
sectionfile,49
single_ewt,4966
single_soa1,72058
single_soa2,358625
soa1,
soa2,0
soa3,0
systemhistoryfile,81
systemparametersfile,186
tenantaccountfile,577
tenantschedulefile,437
tenanttypefile,16
terminationfile,272
tinfile,173
tmp_mallhoursfile,0
tms2017,0
tms2018,0
tms2018cur,552
tms2018pay,3219
tms_intpen,305
transactionadjustmentfile,59
transactionclausesfile,274436
treasury_ewt,0
turnoverfile,1087
turnoverformfile,2122
unbilledchargesfile,30
useraccesslevelfile,10822
useracctg,59
userbranchfile,487
userfile,132
userpasswordhistoryfile,216
usertreasury,39
utg,0
wtentryextfile,0
wtentryfile,0
