table_name,last_id
accesslevelfile,6784
adjustmentfile,5586
amendauthorsignatoriesfile,1920
amendmentfile,888
amendotherchargesfile,27015
amendparticularsfile,29078
amendpayschedulefile,0
amendrentalchargesfile,6707
app_files,1
approveby,59
ar1,6
ar2,0
at_copy,0
audittrailfile,178122
aur_sig,7
bank,3
bankfile,22
branchfile,5
branchfloorlevelfile,206
businesscategoryfile,60
chargesfile,134
chargestagfile,41740
checkby,2514
clausesfile,332
clearancefile,653
clientofferfile,1062
clientofferhistoryfile,28
cm,50275
cmdmextfile,1749
cmdmfile,3794
companyaccountfile,9
constructionfile,3377
contractrenewalfile,1452
cs,
departmentfile,11
discountfile,15298
dm,316963
documentfile,12
egressfile,333
exhibitprofilefile,0
fds,
finalreadingfile,35
gross_sales1,150
gross_sales2,25199
ingressfile,956
ingressotherfile,1618
inspectionfile,50
interestandpenaltyfile,0
intpenfile,0
lateopenandearlyclosefile,1511
locationfile,677
loecfile,3007
meter1,104
meter2,520
meterfile,1169
meterhistoryfile,3360
meterreadingexcelfile,169797
meterreadingfile,891
metertagfile,3797
moaextensionfile,0
modulefile,181
notedby,18
operationadjfile,0
operationadjustmentfile,173
operationhoursclosingexemptedfile,1253
operationhoursfile,264
operationhoursopeningexemptedfile,955
operationhourstenantexemptedfile,175
operationspecificfile,1834
or1,30849
or1a,70
or2,50328
or2_a,0
or3,44806
orfile,0
otheraccountchargesfile,0
otherchargesfile,81479
otherchargeshistoryfile,0
otherchargesingressfile,2
otherservicefile,25553
particularsfile,28
payschedulefile,0
payschedulehistoryfile,0
pospermitfile,8
preconstructionfile,14
preoperationfile,40878
preparedby,66
printby,58
provisionsfile,19
refundfile,0
refundsecuritydepositfile,496
refundsecuritydepositwithoutorfile,10
reminder_sig,7
remindersfile,2
rentalchargesfile,89806
rentalschemefile,8
representativefile,8353
representativehistoryfile,0
rolefile,29
sales,7
sectionfile,57
single_ewt,10900
single_soa1,136688
single_soa2,638678
soa1,
soa2,0
soa3,0
soaextfile,16805
soafile,18026
soapayfile,6476
soatempobalancefile,22599
soatempopayfile,73
systemhistoryfile,99
systemparametersfile,198
tenantaccountfile,696
tenantconcernsfile,0
tenantschedulefile,4787
tenanttypefile,17
terminationfile,595
tinfile,173
tmp_mallhoursfile,1
tms2017,0
tms2018,0
tms2018cur,554
tms2018pay,3307
tms_intpen,305
transactionadjustmentfile,241
transactionclausesfile,594649
treasury_ewt,0
treasuryarpdcarfile,0
treasuryarpdcewtfile,0
treasuryarpdcfile,1
treasuryewtfile,1527
treasuryorarfile,6812
treasurypayextfile,434
treasurypayfile,6476
treasurypayfile_back,347
treasurypayinfofile,294
turnoverfile,1555
turnoverformfile,32344
unbilledchargesfile,4
useraccesslevelfile,17304
useracctg,63
userbranchfile,540
userfile,142
userpasswordhistoryfile,331
usertreasury,50
utg,0
wtentryextfile,837
wtentryfile,3793
